,0,1
0,Adelberg,1
1,American,855
2,Anytime,20
3,April_',88
4,Auschwitz,1593
5,Austria,1100
6,Austro-Hungarian,29
7,BBC,232
8,Benda,1
9,Berlin,1020
10,Bohemia,68
11,Bridge,79
12,CIA,57
13,Catholic,593
14,Catholicism,84
15,Celsius,20
16,Change_of,1099
17,Charles,151
18,Christmastime,92
19,Commission,87
20,Communist_Party,111
21,Communists,360
22,Congress,213
23,Cornell,30
24,Cubans,24
25,Czech,461
26,Czech_army,48
27,Czechoslovakia,1184
28,Czechs,300
29,DER,1
30,Dachau,642
31,Eastern_Europe,147
32,Empire,58
33,England,1233
34,English,2102
35,Episcopalian,11
36,Europe,1854
37,Eva,193
38,France,1266
39,GERMAN_-rsb-,341
40,Gassed,2
41,Ger,98
42,German,1764
43,Germans,2433
44,Germany,2446
45,Ghetto,231
46,Herr,196
47,Hitler,1819
48,Holocaust,1624
49,Hungarians,478
50,Hungary,669
51,Hussite,2
52,I,2665
53,Into,108
54,Iran,89
55,Israel,2027
56,Ithaca,5
57,Jews,2527
58,Judenrat,255
59,Kapo,121
60,Kind_of,75
61,Kippur,232
62,Kommandos,18
63,LITTLE,3
64,Life,459
65,Litzmannstadt,39
66,Lodz_Ghetto,35
67,Lotte,24
68,Maccabi,62
69,March_15,40
70,Maria,238
71,Married,56
72,Masaryk,38
73,Mauthausen,293
74,May,1615
75,Mhm,80
76,Munich,681
77,Muselmann,50
78,Mutter,8
79,Nazism,236
80,New,383
81,New_Jersey,430
82,New_York,1767
83,Nixon,33
84,No,607
85,October,1204
86,October_',95
87,Old,110
88,Olympic_stadium,6
89,Poland,2125
90,Polish,1216
91,Prague,515
92,President,299
93,Protestant,171
94,Quonset,8
95,Radio,77
96,Red_Cross,940
97,Reform,75
98,Religion,81
99,Roosevelt_die,36
100,Russia,1562
101,Russians,1837
102,SUBJECT_:,155
103,Siegfried_Line,27
104,Skokie,46
105,Slansky,5
106,Slovakia,219
107,Social,70
108,Stalin,377
109,Sudetenland,133
110,Sunday,950
111,Switzerland,742
112,Synagogue,134
113,Theresa,48
114,Theresienstadt,378
115,Tochter,3
116,Uh,234
117,Um,86
118,University,848
119,Vienna,808
120,WENN,1
121,West,366
122,Wir,8
123,Yes,54
124,Zionist_organization,284
125,a_lot,2523
126,a_sudden,1165
127,ability,381
128,able_to,2289
129,absolutely,1211
130,absorb,224
131,abuse,213
