,0,1
0,cemetery,742
1,center,1192
2,century,353
3,certain,1691
4,certain_extent,102
5,certainly,1090
6,chance,1701
7,change,2352
8,child,2585
9,cholera,38
10,choose,1123
11,church,1117
12,cigarette,812
13,circle,639
14,circumstance,902
15,city,2199
16,civilization,124
17,claim,611
18,clarinetist,2
19,class,1477
20,classic,115
21,clean,1694
22,clean_up,643
23,cleaning_woman,42
24,clearly,392
25,closer,1004
26,closest,443
27,clothes,1760
28,clothing,1208
29,club,633
30,coal,604
31,cohesion,6
32,cold,1608
33,collect,1018
34,color,721
35,come,2665
36,come_back,2486
37,come_closer,388
38,commit_suicide,499
39,common_sense,69
40,communism,184
41,communist,851
42,community,1261
43,complain,621
44,completely,1349
45,comply_with,51
46,compose,162
47,comrade,170
48,concentration-camp,4
49,concentration_camp,2006
50,confessional,8
51,confirm,197
52,confirmation,84
53,conflict,239
54,confusing,71
55,connection,903
56,connection_with,542
57,consciously,113
58,consciousness,122
59,conservative,337
60,consist_of,413
61,constitution,66
62,conversation,928
63,convert,528
64,convey,147
65,cope_with,292
66,corner,1141
67,corpse,300
68,cost,601
69,costume,112
70,could,2647
71,could_not,2601
72,count,1299
73,counter,187
74,country,2153
75,countryside,282
76,couple,1418
77,couple_of,1626
78,court,650
79,courtyard,349
80,cousin,1731
81,cover,1570
82,crawl,472
83,crazy,1043
84,cream,175
85,crew,261
86,crisis,160
87,crop,119
88,crowd,767
89,crude,39
90,cry,1842
91,culture,617
92,cup_of,332
93,cure,259
94,curfew,458
95,custom_official,15
96,cynical,60
97,cynicism,10
98,czech,369
99,czech_language,13
100,daily,606
101,damn,239
102,danger,975
103,dangerous,780
104,dare,496
105,dark,1323
106,daughter,1931
107,dawn,144
108,day,2615
109,daylight,263
110,dead,1909
111,deal,673
112,deal_with,1022
113,dear,299
114,death,1692
115,decide,2201
116,defend,352
117,defens,34
118,defensiveness,1
119,degree,798
120,dehumanize,101
121,delay,169
122,demand,490
123,democratic,185
124,denude,4
125,depend_on,515
126,deposit,179
127,describe,1875
128,desert,311
129,designate,219
130,desire,352
131,destination,382
132,detail,1004
133,develop,918
134,die,2506
135,difference,1210
136,different,2449
137,different_direction,183
138,different_nationality,102
139,direct,701
140,directly,739
141,disappear,1240
142,disaster,226
143,discreet,18
144,discrimination,213
145,discrimination_against,37
146,discuss,1048
147,discussion,614
148,discussion_about,139
149,disfigure,8
150,disgraceful,7
151,disinterest,4
152,disk,27
153,dispersed,8
154,dissolution,5
155,distinctly,110
156,district,451
157,divide_into,219
158,do_not,2665
159,door,2049
160,doubt,373
161,downstairs,712
162,dream,1162
163,dream_about,307
164,dress,1684
165,drift,92
166,dry,693
167,dual,39
168,earlier,1123
169,earlier_than,113
170,early,1696
171,early_morning,219
172,earthquake,51
173,easier,745
174,east,825
175,easy,1487
176,eat,2322
177,economic_situation,60
178,education,1425
179,educational_system,48
180,effect,696
181,effort,541
182,eight_year,724
183,elapse,40
184,elderly_woman,80
185,electric,387
186,electric_wire,153
187,else,1570
188,emaciate,82
189,emotional,436
190,emotionally,320
191,empathize_with,14
192,empty,1221
193,encounter,415
194,end,2240
195,end_of,2318
196,endless,110
197,enemy,710
198,energy,316
199,engineer,725
200,english,950
201,enjoin,1
202,enjoy,1052
203,enmity,9
204,enough,2246
205,enquiry,8
206,enter,1122
207,enthusiasm,100
208,equally,155
209,equip,169
210,erwacht,2
211,escape,1662
212,escort,249
213,especially,1757
214,established,106
215,establishment,218
216,evacuate,730
217,even,2557
218,even_today,331
219,evening,1675
220,event,889
221,eventually,1253
222,ever,2350
223,ever_hear,424
224,ever_since,340
225,every,2403
226,every_Sunday,245
227,every_day,1907
228,every_morning,810
229,every_night,670
230,every_single,320
231,everybody,2433
232,everything,2534
233,evidently,210
234,ex-Nazis,8
235,ex_--,150
236,exact,439
237,except_for,592
238,exchange,877
239,excuse,1363
240,execute,427
241,exercise,397
242,exhale,9
243,exhibition,109
244,exist,1205
245,exist_anymore,95
246,existence,525
247,exonerate,12
248,expect,1384
249,expectation,179
250,experience,2212
251,explain,1753
252,exposure,111
253,expression,532
254,extent,478
255,extermination_camp,285
256,extra,710
257,extra_ration,56
258,eye,1626
259,eyesight,46
260,f_--,335
261,face,1774
262,fact,2158
263,factory,1784
264,fair,459
265,fairgr,1
266,fairground,8
267,fairly_soon,33
268,faith,507
269,fall,1849
270,fall_down,581
271,family,2619
272,famous,827
273,far,1659
274,fascism,65
275,fashion,331
276,fast,1184
277,fat,529
278,father_'s,1114
279,fear,1200
280,feel,2553
281,feeling,1854
282,few_year,944
283,field,1520
284,fight,1986
285,figuratively,15
286,fill,794
287,finances,57
288,find,2582
289,fine,1454
290,first,2633
291,first_time,1824
292,five,2063
293,five_minute,405
294,five_year,1134
295,fix,689
296,flamboyant,5
297,flank,30
298,flash,110
299,flood,149
300,fluently,224
301,follow,1631
302,food,2408
303,fool,247
304,foot,1662
305,for_instance,891
306,foreign,438
307,forget,2258
308,form,1297
309,formally,93
310,fortification,74
311,fortress,123
312,fortunate,432
313,fortune,271
314,forty,247
315,found,171
316,founder,48
317,four,2292
318,four-year-old,26
319,four_year,1200
320,fraction,42
321,franca,9
322,free,1912
323,freedom,855
324,freely,270
325,french,1233
326,friend,2545
327,friendly_with,368
328,from_Czechoslovakia,460
329,full,1794
330,fully,351
331,fully_arm,10
332,funeral,399
333,funny_incident,22
334,furious,168
335,furniture,929
336,future,1206
337,g_--,175
338,garrison,98
339,gas,1012
340,gas_chamber,840
341,gas_oven,28
342,gendarme,223
343,general,1369
344,geog,1
345,geographic,32
346,geography,269
347,german,2551
348,german-speaking,67
349,german_guard,310
350,german_literature,29
351,german_soldier,1025
352,get,2661
353,get_marry,1776
354,get_sick,931
355,ghetto,1630
356,ghostly,9
357,gifted,58
358,girl,2203
359,girlfriend,802
360,give,2657
361,glass,903
362,glimmer,21
363,go,2665
364,go_ahead,945
365,go_anywhere,381
366,go_back,2542
367,go_straight,430
368,go_through,2314
369,god,324
370,golem,5
371,good,2578
372,good_memory,129
373,government,1481
374,graduate,746
375,greying,1
376,grim,40
377,ground,1305
378,ground_floor,115
379,group,2202
380,grow,1211
381,grow_up,1892
382,guard,1602
383,guest,405
384,gun,1330
385,gym,131
386,gymnastics,80
387,hail,59
388,half,2133
389,hall,565
390,hallway,211
391,hand,2227
392,happen,2621
393,hard,2021
394,hard_time,485
395,harder,365
396,hardest,136
397,hate,1297
398,hay,415
399,haze,22
400,head,2195
401,healthy,856
402,hear,2540
403,hear_about,1429
404,heart,1289
405,heated,34
406,height_of,109
407,help,2558
408,herd,198
409,herd_into,68
410,heritage,183
411,hesitation,47
412,hide,2106
413,hierarchy,145
414,high,1565
415,high-ranking,52
416,high-school,8
417,high_school,1449
418,high_temperature,103
419,higher,577
420,higher_than,100
421,highly,258
422,historical,274
423,historically,112
424,history,1519
425,hit,1610
426,hm,196
427,hm_?,49
428,hmm,117
429,hold,2036
430,hole,1094
431,home,2566
