Group num: 0, TC(X;Y_j): 0.071
grandmother, 0.027, 1.000, 0.027
grave, 0.019, 1.000, 0.019
foot, 0.018, 1.000, 0.018
grandfather, 0.018, 1.000, 0.018
leg, 0.016, 1.000, 0.016
wagon, 0.016, 1.000, 0.016
cover, 0.016, 1.000, 0.016
stick, 0.016, 1.000, 0.016
something, 0.015, 1.000, 0.015
start, 0.015, 1.000, 0.015
grandparent, 0.014, 1.000, 0.014
visit, 0.012, 1.000, 0.012
dress, 0.012, 1.000, 0.012
uncle, 0.012, 1.000, 0.012
share, 0.010, 1.000, 0.010
lie, 0.010, 1.000, 0.010
wash, 0.010, 1.000, 0.010
baby, 0.009, 1.000, 0.009
husband, 0.009, 1.000, 0.009
sadness, 0.009, 1.000, 0.009
wave, 0.009, 1.000, 0.009
top, 0.009, 1.000, 0.009
shoe, 0.009, 1.000, 0.009
drag, 0.007, 1.000, 0.007
travel, 0.007, 1.000, 0.007
Mrs., 0.007, 1.000, 0.007
rf, 0.007, 1.000, 0.007
hospital, 0.006, 1.000, 0.006
transport, 0.005, 1.000, 0.005
pass, 0.005, 1.000, 0.005
milk, 0.005, 1.000, 0.005
boot, 0.005, 1.000, 0.005
Paris, 0.005, 1.000, 0.005
affect, 0.005, 1.000, 0.005
mouth, 0.005, 1.000, 0.005
America, 0.005, 1.000, 0.005
Warsaw, 0.004, 1.000, 0.004
kitchen, 0.004, 1.000, 0.004
imagine, 0.004, 1.000, 0.004
ring, 0.003, 1.000, 0.003
aunt, 0.003, 1.000, 0.003
gun, 0.003, 1.000, 0.003
question, 0.003, 1.000, 0.003
arrive, 0.002, 1.000, 0.002
pull, 0.002, 1.000, 0.002
orphanage, 0.001, 1.000, 0.001
Group num: 1, TC(X;Y_j): 0.066
arm, 0.041, 1.000, 0.041
catch, 0.019, 1.000, 0.019
gas_chamber, 0.019, 1.000, 0.019
yell, 0.019, 1.000, 0.019
blood, 0.019, 1.000, 0.019
kill, 0.018, 1.000, 0.018
group, 0.018, 1.000, 0.018
beating, 0.014, 1.000, 0.014
tear, 0.014, 1.000, 0.014
scream, 0.014, 1.000, 0.014
beat, 0.013, 1.000, 0.013
pain, 0.012, 1.000, 0.012
throw, 0.011, 1.000, 0.011
box, 0.009, 1.000, 0.009
pack, 0.009, 1.000, 0.009
stuff, 0.009, 1.000, 0.009
shooting, 0.009, 1.000, 0.009
separate, 0.008, 1.000, 0.008
surprise, 0.008, 1.000, 0.008
anyone, 0.008, 1.000, 0.008
money, 0.007, 1.000, 0.007
live, 0.005, 1.000, 0.005
hold, 0.005, 1.000, 0.005
hurt, 0.005, 1.000, 0.005
fact, 0.004, 1.000, 0.004
hang, 0.004, 1.000, 0.004
faint, 0.003, 1.000, 0.003
someone, 0.003, 1.000, 0.003
meet, 0.002, 1.000, 0.002
house, 0.001, 1.000, 0.001
Group num: 2, TC(X;Y_j): 0.060
survive, 0.047, 1.000, 0.047
story, 0.038, 1.000, 0.038
thank, 0.036, 1.000, 0.036
message, 0.026, 1.000, 0.026
Holocaust, 0.017, 1.000, 0.017
fight, 0.016, 1.000, 0.016
hope, 0.015, 1.000, 0.015
grandchild, 0.014, 1.000, 0.014
tape, 0.014, 1.000, 0.014
lose, 0.014, 1.000, 0.014
respect, 0.013, 1.000, 0.013
orphan, 0.010, 1.000, 0.010
teenager, 0.010, 1.000, 0.010
movie, 0.010, 1.000, 0.010
business, 0.010, 1.000, 0.010
use, 0.009, 1.000, 0.009
forgive, 0.008, 1.000, 0.008
AJ, 0.007, 1.000, 0.007
i., 0.006, 1.000, 0.006
son, 0.005, 1.000, 0.005
die, 0.005, 1.000, 0.005
RF, 0.005, 1.000, 0.005
kid, 0.004, 1.000, 0.004
age, 0.001, 1.000, 0.001
wire, 0.001, 1.000, 0.001
date, 0.000, 1.000, 0.000
Group num: 3, TC(X;Y_j): 0.053
bread, 0.054, 1.000, 0.054
piece, 0.032, 1.000, 0.032
water, 0.030, 1.000, 0.030
light, 0.023, 1.000, 0.023
jew, 0.016, 1.000, 0.016
push, 0.016, 1.000, 0.016
couple, 0.016, 1.000, 0.016
get, 0.016, 1.000, 0.016
pick, 0.014, 1.000, 0.014
soup, 0.011, 1.000, 0.011
order, 0.009, 1.000, 0.009
car, 0.009, 1.000, 0.009
army, 0.007, 1.000, 0.007
ground, 0.007, 1.000, 0.007
forget, 0.006, 1.000, 0.006
please, 0.005, 1.000, 0.005
Friday, 0.004, 1.000, 0.004
Russians, 0.004, 1.000, 0.004
condition, 0.004, 1.000, 0.004
woman, 0.004, 1.000, 0.004
wood, 0.003, 1.000, 0.003
wall, 0.003, 1.000, 0.003
buy, 0.003, 1.000, 0.003
soldier, 0.003, 1.000, 0.003
finish, 0.002, 1.000, 0.002
idea, 0.002, 1.000, 0.002
take_care, 0.002, 1.000, 0.002
gas, 0.002, 1.000, 0.002
survivor, 0.002, 1.000, 0.002
Group num: 4, TC(X;Y_j): 0.050
stop, 0.048, 1.000, 0.048
morning, 0.027, 1.000, 0.027
speak, 0.025, 1.000, 0.025
child, 0.024, 1.000, 0.024
wake, 0.023, 1.000, 0.023
mom, 0.018, 1.000, 0.018
strength, 0.016, 1.000, 0.016
horse, 0.016, 1.000, 0.016
spend, 0.016, 1.000, 0.016
grab, 0.014, 1.000, 0.014
way, 0.013, 1.000, 0.013
find, 0.013, 1.000, 0.013
feeling, 0.011, 1.000, 0.011
run, 0.009, 1.000, 0.009
faith, 0.008, 1.000, 0.008
scare, 0.008, 1.000, 0.008
field, 0.008, 1.000, 0.008
guess, 0.007, 1.000, 0.007
back, 0.006, 1.000, 0.006
liberate, 0.005, 1.000, 0.005
barrack, 0.005, 1.000, 0.005
swear, 0.005, 1.000, 0.005
ss, 0.002, 1.000, 0.002
Group num: 5, TC(X;Y_j): 0.042
day, 0.077, 1.000, 0.077
night, 0.058, 1.000, 0.058
stay, 0.025, 1.000, 0.025
friend, 0.019, 1.000, 0.019
wish, 0.013, 1.000, 0.013
rabbi, 0.013, 1.000, 0.013
today, 0.013, 1.000, 0.013
middle, 0.010, 1.000, 0.010
girl, 0.010, 1.000, 0.010
sleep, 0.009, 1.000, 0.009
send, 0.008, 1.000, 0.008
save, 0.007, 1.000, 0.007
service, 0.007, 1.000, 0.007
farmer, 0.007, 1.000, 0.007
trip, 0.006, 1.000, 0.006
none, 0.006, 1.000, 0.006
cut, 0.006, 1.000, 0.006
hear_voice, 0.006, 1.000, 0.006
Dad, 0.006, 1.000, 0.006
power, 0.006, 1.000, 0.006
snow, 0.006, 1.000, 0.006
ph, 0.005, 1.000, 0.005
invite, 0.004, 1.000, 0.004
bear, 0.004, 1.000, 0.004
