0:grandmother,grave,foot,grandfather,leg,wagon,cover,stick,~something,~start
1:arm,catch,gas_chamber,yell,blood,kill,group,beating,tear,scream
2:survive,story,thank,message,Holocaust,fight,hope,grandchild,tape,lose
3:bread,piece,water,light,jew,push,couple,get,pick,soup
4:stop,morning,speak,~child,wake,mom,strength,horse,spend,grab
5:day,night,stay,friend,wish,rabbi,today,middle,~girl,sleep
6:year,put,lot,~let,~talk,wife,~bed,~know,point,~moment
7:mother,sister,~people,say,parent,~bring,say_goodbye,word,~somebody,~nobody
8:lay,look,nothing,~go,jump,listen,bar_mitzvah,floor,room,build
9:thing,~name,~call,~school,think,mean,mind,~sigh,~pay,~clothes
10:life,make,~turn,~walk,~side,help,~realize,~cousin,~remember,~street
11:eat,food,city,open,~hear,potato,Sunday,papers,feed,meat
12:brother,home,~feel,front,keep,~show,~laugh,window,~daughter,~decide
13:world,try,generation,God,describe,change,~time,~see,voice,tell
14:end,understand,war,experience,marry,happen,like,SM,want,laughter
15:family,~take,~door,~eye,~head,one,~recognize,death,grow,miss
16:give,kind,continue,write,letter,read,~come,~start_cry,~come_home,~train
17:anything,everybody,kiss,line,hug,sb,yard,beard,~become,~heart
18:father,~work,believe,~play,dream,~place,~hit,suffer,Hitler,picture
19:man,sit,sing,table,bit,~part,meal,~Israel,~care,~excuse
